Francesca,Construction ID,Name,Form,Function,Formal Tags,Functional Tags,Schematicity Level,Examples 1,Source,Examples 2,Source,Examples 3,Source,Examples 4,Source,Examples 5,Source,Idiomaticity Level Function,Explain,Idiomaticity Level Form,Explain,Idiomaticity Level Restrictions,Explain,Idiomaticity Level Collocational Preferences,Explain,Idiomaticity Level Usage Familiarity,Explain,Data Collector,Notes
rev,1,,non vedo perchè doverefles Vinf  adv (e/o)Prep. X,"esprime contrarietà rispetto allo svolgimento di un'azione, di un'attività o rispetto ad uno stato d'animo, ad un pensiero espresso da altri o pensato in prima persona. ","semi fixity, semi variability","opposition, disappointment, context dependence",partially filled/schematic,non vedo perchè dovrei parlare con lui,"italiano colloquiale
",non vedo perchè dovrei stare a guardare,italiano colloquiale,non vedo perchè dovrei andare ,italiano colloquiale,non vedo perchè dovrei crederti,italiano colloquiale,non vedo perchè dovrei stare qui con lui,italiano colloquiale,yes,"la comprensione di questo tipo di costruzione non è possibile se si prescinde dal contesto, prevede infatti una coreferenza con un discorso precedente riferito all'interazione fra conoscenti.",yes,la costruzione è formata dalla prima parte fissa e la seconda parte con costituenti che presentano maggiore variabilità,yes,"-""Non vedo perchè"": si trova in posizione iniziale con ordine fisso e costituenti non variabili.
-Nel caso in cui la frase venga espressa senza elementi sottintesi, il verbo modale che lo segue è necessariamente -dovere, il quale subisce flessione. Nel caso non sia presente è appunto sottinteso come ""non vedo perchè di questo conflitto""
La parte che segue, nel caso in cui la frase sia espressa nella sua interezza e senza sottintesi è un V all'infinito; i costituenti successivi al V presentano una variabilità da un punto di vista dei costituenti e meno fissità. ",yes,"-V: deve necessariamente essere all'infinito. In alcuni casi può essere accompagnato da pronomi personali clitici posti alla fine del verbo.
adv: possono essere avverbi spaziali deittici o temporali. Può essere assente
-Prep: deve essere una preposizione semplice. in alcuni costrutti può essere assente
L'avverbio e la preposizioni possono cooccorrere, essere entrambi assenti o vi possono essere costrutti con solo uno di essi.
X: può essere un N, V, Pronome
Successivamente al V i costituenti possono anche essere assenti in alcuni costrutti (ex 3). Ci sono anche costrutti in cui tutto viene sottinteso a parte la parte iniziale ""non vedo perchè..."" o anche ""non vedo perchè dovrei"". 
la valenza della costruzione può quindi essere ridotta all'essenziale in ""non vedo perchè"", però la valenza varia anche a seconda del significato che ogni singolo costrutto deve esprimere e quindi a seconda del contesto, essendo un tipo di costruzione la cui interpretazione deriva appunto dal contesto colloquiale e dall'interazione tra soggetti. ",no,,Marianna Ceravolo,"lo schema della costruzione che riporto è quella in cui nessun elemento viene sottinteso, però preciso che sopo il -perchè possono seguire diversi tipi di elementi, perciò volendo aggiungere una forma sintetica si potrebbe indicare il costrutto con lo schema : non vedo perchè X, considerando costruzioni come "" non vedo perchè no"", ""non vedo perchè in Francia"". Però penso che in questi casi vengano comunque sottintesi elementi presenti nello schema riportato all'inizio. Tutti i costrutti rimangono infatti comprensibili grazie all'abituale utilizzo della frase, il quale quindi permette di sottintedere alcune sue parti, in congiunto con il riferimento al contesto colloquiale. "
rev,2,,non V (ci+essere) - N - che V (tenere),"Esprime determinazione al raggiungimento di uno scopo, enunciato indifferentemente prima o dopo questa costruzione: esprime determinazione nel raggiungere un obiettivo, talvolta superando proprio l'ostacolo enunciato nella costruzione.",,,partially filled/schematic,"Sono già quattro volte che non riesco a superare l’ultimo esame dell’università. Ma stavolta non c’è santo che tenga. Giuro che ci riuscirò!
In questa occorrenza l'ostacolo (il santo) non è ovviamente responsabile del buon esito dell'esame del candidato: viene inteso come ostacolo in quanto entità che nel folklore dal cielo favorirebbe o impedirebbe i successi degli uomini in terra. Nulla viene detto a proposito delle motivazioni del fallimento, ma pare chiara la volontà di riuscire al prossimo tentativo, eenfatizzando questa idea proprio con l'utilizzo di questa costruzione.",https://italianosemplicemente.com/2021/06/25/552-non-ce-che-tenga/,"Le ultime partite sono stato molto sfortunato e ho sempre perso. Ma la prossima partita non c’è sfortuna che tenga. Stavolta vincerò io!
Questa volta l'ostacolo da superare è stato anche la causa del precedente fallimento (la sfortuna).",https://italianosemplicemente.com/2021/06/25/552-non-ce-che-tenga/,"Perdiamo sempre per colpa dell’arbitro? La prossima volta non c’è arbitro che tenga. Vinceremo noi!
Analogamente, anche in questa occorrenza la causa del precedente fallimento viene posta nel mezzo di questa costruzione e diventa ostacolo al raggiungimento dell'obiettivo (l'arbitro).
 ",https://italianosemplicemente.com/2021/06/25/552-non-ce-che-tenga/,"Perché consegnate sempre i compiti in ritardo? Avete sempre una scusa da dire e questo non va bene. La prossima volta non c’è scusa che tenga! Chi non consegna i compiti in tempo sarà bocciato.
Le scuse (verosimilmente addotte dagli alunni) non li esenteranno più dai loro obblighi. In questa circostanza il verbo tenere assume una sfumatura ancor più chiara di ""reggere"" (la scusa non regge, non è valida, non convince (più)).",https://italianosemplicemente.com/2021/06/25/552-non-ce-che-tenga/,,,yes,"Il significato dell'espressione non è deducibile dalla semplice somma dei significati delle parti: il verbo tenere qui non sta per ""prendere, afferrare"" quanto piuttosto per ""essere abbastanza valido"", valendo ""reggere"" (o meglio, ""non reggere"")",no,,yes,"N può essere solamente un sostantivo. Ad esempio, non può mai essere riempito da un aggettivo: oggi mi vesto di rosso, *non c'è verde che tenga. Inoltre V (tenere) può essere declinato solamente al congiuntivo, e solamente alla III pers. sing. o plur.",no,,yes,"Non pare esserci variazione diatopica associata a questa costruzione: piuttosto, la variazione è diastratica (situazionale) e diamesica. La costruzione sembra essere associata a situazioni di lingua informale oltre che solamente orale.",Nico Ferioli,
no,3,,V (dire) + N + N,"Espressione idiomatica usata correntemente nell'italiano popolare. Indica un contesto comunicativo in cui un ""X parla male (sparla) di Y"" o in cui ""sia X che Y parlano male l'uno dell'altro"".",,,lexically filled,Si sono detti peste e corna ,Italiano regionale,Vi sembra normale che una persona dica peste e corna dell'ex coniuge?, Post facebook ,Ti consiglio di non rivolgerti al Dottor Rossi per il tuo mal di schiena. Almeno tre persone che si sono rivolte a lui me ne hanno dette peste e corna.,commento ad un Post facebook ,,,,,yes,Esprime l'astio o la disapprovazione di una persona o tra due o più persone.,yes,"Substantive idiom, espressione lessicalmente specificata (principi combinatori generali V + Obj + Obj fissi) che assume una particolare interpretazione idiomatica.",yes,"L'espressione, per essere compresa dagli interlocutori, deve essere enunciata in contesti specifici (soprattutto informali) in cui un interlocutore riferisce agli altri partecipanti che un determinato soggetto X parl- male di un qualsiasi oggetto Y.",yes,"La costruzione prevede che ci sia un verbo V(dire) all'inizio dell'espressione (pur potendo essere coniugato in qualsiasi forma; anche alla forma passiva o reciproca), seguito da due oggetti Obj che non variano in alcun caso nella forma. I due oggetti possono essere seguiti da un SP (sintagma preposizionale: di qualcuno).",yes,"La costruzione di origine prettamente regionale, nello specifico meridionale (pugliese), viene usata solo in contesti informali ad alto grado di familiarità tra gli interlocutori.",Siria Grasso,
yes,4,Discontinuous reduplication with antonymic pairs,Xi Adv1 Xi Adv2,PLURALITY|VARIETY of X,"reduplication, repetition","plurality, intensification",fully schematic,"Il commendatore […] riceveva, ringraziava, stringeva mani di qua, mani di là […]",Corpus: itTenTen16,"I segni erano spariti e, cerca di qua, cerca di là, nessuno ha avuto il coraggio di continuare senza.",Corpus: itTenTen16,"Ora poi facciamo attenzione che ogni iniziativa ha e avrà un aggettivo imprescindibile: “Europeo.” Giornata Europea contro la sclerosi multipla, Giornata Europea contro la leucemia, giornata europea contro il fumo, sciopero europeo,giornata europea di qua, giornata europea di là.",Corpus: itTenTen16,"Tutti bravi a parlare, Bono di qua, Bono di là…",Corpus: itTenTen16,"Ancora un'entrata mancata: chi russa di qua chi russa di là, tutti dormono come ghiri e nessuno ha visto.",Corpus: itTenTen16,yes,,no,,yes,,yes,,no,,Francesca Masini,"The function of the construction is not predictable from its parts.
The construction is instantiated by daughter-constructions, each of which has slightly distinct (albeit related) functions and more specific properties."
yes,5,,Adj + come + N,Il costrutto indica una caratteristica positiva di una persona attraverso il paragone con un termine le cui qualità sono universalmente riconosciute.,,,partially filled/schematic,Buono come il pane,,Dolce come il miele,,Bello come il sole,,,,,,yes,"il significato dell'espressione non è strettamente predicibile dalla somma dei significati delle singole parole. nel caso di 'buono come il pane', ad esempio, non ci si riferisce al buon sapore di una persona ma al suo carattere mite. ",no,non ci sono anomalie dal punto di vista morfo-sintattico,yes,"il costrutto seleziona soltanto un particolare tipo di aggettivi, i qualificativi. 
L'ordine delle parole non può essere modificato.",yes,"l'espressione ha una tendenza statisticamente significativa a selezionare un tipo particolare di nome. Infatti, è preferibile usare un nome comune di cosa ma è anche possibile un nome proprio di persona.",yes,"l'espressione è riconosciuta dal parlante come convenzionalizzata, per tanto la tendenza sarà quella di selezionare il costrutto 'bello come il sole' e non 'carino come il sole'",Ilenia Passalacqua,
later_MWE,6,,V. parlare + prep. + N,"La Costruzione indica l'assenza di ascolto da parte del destinatario, ovvero l'azione del parlare senza essere ascoltati.",,,partially filled/schematic,Parlare al muro,,Parlare al vento,,Parlare ai sordi,,,,,,yes,"Perché il significato del costrutto non è strettamente deducibile: esso indica la vanità dell'azione del parlare, ma non individua, ad esempio nel muro, il vero e proprio interlocutore. ",no,Perché non ci sono anomalie morfosintattiche ,yes,Perché l'espressione ha una flessibilità limitata: lo slot N può essere riempito solo da un ristretto numero di nomi che veicolano l'idea di assenza di feedback. L'ordine delle parole. ,no,,yes,"Perché nonostante l'espressione possa essere formulata in vario modo( es. parlare alle pareti o parlare ai non udenti), il parlante la seleziona e la riconosce come convenzionalizzata. ",Giulia Chiara De Simone,
yes,7,Pseudo-coordination,prendere e V,(BEGIN TO) V {UNEXPECTEDLY | SUDDENLY | ABRUPTLY},"pseudocoordination, complex predicates, light verbs","aspect, inchoativity, mirativity",partially filled/schematic,"Ha aggiunto che da un po’ di tempo c’erano problemi, e che la situazione fra loro due era un po’ tesa, e che a volte capitava che sua moglie dopo una litigata particolarmente violenta dicesse che adesso si era stufata sul serio, prendesse e andasse via per un paio di giorni. Ma poi torna sempre, ha aggiunto. Purtroppo.",Corpus: CORIS,"E poi gli orsi non sono animali migratori, non assomigliano per niente alle rondini. Gli orsi vagabondano, sono animali erranti. Prendono e partono, e non è affatto detto che ritornino.",Corpus: CORIS,"Io e mio marito si litiga, chiaro, come tutte le coppie sposate di questo mondo. E ogni tanto salta la pazienza, anche perché l’ultima delle pensate che ha avuto, vero, lasciamo perdere. Ci siamo fatti ridere dietro da tutto il paese. E io ho preso e sono andata per i fatti miei.",Corpus: CORIS,[…] ogni tanto qualcuno chiama per un intervento e allora prendo su e vado a fare il mio dovere.,Corpus: CORIS,Ma magari prendo e mi vado a cercare una stanza in città.,Corpus: itWaC,yes,,no,,no,,yes,,no,,Francesca Masini,"It's an emerging construction, currently in evolution. Its use is not homogeneous among speakers: acceptance rates by speakers are variable (it seems to be slightly more accepted by speakers of non-Southern varieties)."
later_MWE,8,,"V. (andare) + prep. (a) + N. ( monte, rotoli, e catafascio)","La Costruzione indica non realizzarsi, non raggiungere lo scopo, fallire.",,,partially filled/schematic,Il nostro affare è andato a monte. ,https://aulalingue.scuola.zanichelli.it/benvenuti/2015/10/08/espressioni-idiomatiche-con-il-verbo-andare/ ,"Senza di lei, tutto andrà a rotoli.",https://it.glosbe.com/it/it/a%20rotoli ,"Niente stava più in piedi, tutto poteva andare a catafascio da un momento all’altro.",https://it.glosbe.com/it/it/andare%20a%20catafascio ,,,,,yes,"Perché il significato della Costruzione è convenzionale, cioè non prevedibile a partire dai significati dei singoli componenti. Tale indica finire in niente e non dar frutto.",no,,yes,"Perché l'espressione deve essere seguita da un nome al singolare tranne nel caso di ""rotoli"".",no,,yes,"Perché la Costruzione può essere formulata in vario modo, ma non si dice così nella lingua e suona molto male per il parlante nativo.",Shaimaa Elsayed Mohamed Salama Shakwa ,
yes,9,SIMIL- construction,[simil-[x]Xj]Xi,[APPROXIMATION of SEMj]i,"prefixation, affixoid","evaluative morphology, approximation",partially filled/schematic,[...] ci frequentiamo sempre più abitualmente e ci comportiamo come una simil-coppia  ,Corpus: itWaC,[…] ornando di luci simil-natalizie gli alberi.,Corpus: itWaC,La scelta è tra una mattonella di simil-pasta e un pollo plasticoso.,Corpus: itWaC,[...] personaggi simil-Humphrey Bogart in “Casablanca”,Corpus: CORIS,[...] pure io mi ero messo a simil studiare…,Corpus: itWaC,yes,,no,,yes,,yes,,no,,Francesca Masini,"The construction is instantiated by daughter-constructions, each of which has slightly distinct (albeit related) functions and more specific properties and collocational preferences."
no,10,,"V.inf stare + Prep.semp. con + Agg. due + N1 piedi + Prep.semp. in + Art. una + N2 scarpa
 ","Indica una sensazione di scomodità e costrizione, mediante metafora.
 ",semi fixity,context dependence,partially filled/schematic,"Giovanni è un ragazzo molto vivace, ma all'Accademia Militare deve stare con due piedi in una scarpa.",Frase venutami in mente.,,,,,,,,,no,,no,,yes,parlato colloquiale.,no,,no,,"Alcuna fonte citata, costruzione ed esempi pensati ed inseriti.","Il verbo può essere coniugato, mentre gli altri componenti della frase sono stabili e non possono essere modificati."
later_MWE,11,,"V+ADJ(numerale 2, 4)+N",Quantità indeterminata ma limitata dell'azione/stato espressi da V+N,light verbs,"vaghezza, indefinitezza, limitatezza",partially filled/schematic,(...) Purtroppo non abbiamo potuto fare due chiacchiere con loro ,Italian Web 2016 (itTenTen16),(...) E' bello uscire a fare quattro passi,Italian Web 2016 (itTenTen16),(...) Proviamo a fare due conti sulla scorta di alcune analisi condotte,Italian Web 2016 (itTenTen16),"
(...) per avere due soldi in più in tasca
",Italian Web 2016 (itTenTen16),,,yes,Il numerale non indica davvero la quantità che esprime,no,,yes,Solo numerali 2 e 4,no,,no,,Elena Coccoz,
no,12,,V.inf.parlare + Prepart.del + Agg. più + Cong. e + Prep.art.del + Agg. meno,"Parlare di qualcosa in generale, poco importante",reduplication,vagueness,partially filled/schematic,Ho incontrato un amico ed abbiamo parlato del più e del meno.,italiano colloquiale. ,,,,,,,,,no,,no,,yes,parlato colloquiale.,no,,no,,"Espressione pensata individualmente, alcuna fonte citata.","Il verbo può essere coniugato, ma gli aggettivi non possono essere sostituiti da altri. "
