sent_id	left_context	pivot	right_context
ParlaMint-IT_2015-03-11-LEG17-Sed-407_197	Il secondo aspetto deficitario del provvedimento in esame è il fatto che si fa 	riferimento	 alle «comunità famiglia», quando non esistano famiglie affidatarie, ma le comunità famiglia non esistono. 
ParlaMint-IT_2015-03-11-LEG17-Sed-407_204	Ho portato solo due esempi, perché il sottoscritto ha una visione parziale delle cose, ma se accade - ci sono sentenze che lo testimoniano - che dopo sette anni i figli sballottati possono rientrare nel nucleo originario, non facciamo l'errore di dire che dopo due anni questi figli vengono adottati dalla famiglia affidataria perché tanti magistrati, anche in buona fede, con questo provvedimento chiuderebbero tanti fascicoli e farebbero statisticamente anche «bella 	figura	» perché si chiudono le pratiche e si definiscono le cause. 
ParlaMint-IT_2015-03-11-LEG17-Sed-407_208	Si dice, inoltre, che l'adozione effettuata dopo lo screening, la dichiarazione di adottabilità, il fatto che il minore faccia 	richiesta	 di tornare nella famiglia di origine oppure in altra famiglia e tutto ciò che risponde all' interesse del minore deve essere messo come preambolo al tutto, prima di poter definire la questione con l'adottabilità finale. 
ParlaMint-IT_2015-03-11-LEG17-Sed-407_235	Credo che, andando ad osservare tutte le parti di questo disegno di legge, dobbiamo anche farci 	scrupolo	 del fatto che questa è una materia estremamente eterogenea, nella quale agiscono molteplici elementi e persone e in cui i percorsi, che sono quelli che portano all' affido e poi alla dichiarazione di adottabilità del minore, sono percorsi difficili, in cui in realtà ogni bambino dovrebbe essere un caso a sé, ma in realtà ogni bambino diventa un numero. 
ParlaMint-IT_2015-03-11-LEG17-Sed-407_265	Infatti, com'è stato detto in tanti interventi, oggi i bambini vengono dati in affidamento, non soltanto a coppie con vincolo matrimoniale (come fa 	riferimento	 l'articolo 6 della legge 4 maggio 1983, n.184), ma anche a coppie conviventi o a singoli. 
ParlaMint-IT_2015-03-11-LEG17-Sed-407_266	Dobbiamo certamente rispettare il vincolo della continuità affettiva, il diritto alla famiglia e, ovviamente, il diritto nell' interesse supremo dei bambini, laddove esistono quelle condizioni che non consentono il rientro in famiglia, che per noi è prioritario (ci sarebbe quindi da discutere di quanto lo Stato fa o deve fare per rimuovere tutti quegli ostacoli ai quali fa 	riferimento	 l'articolo 3 della Costituzione e consentire, appunto, alle famiglie a cui sono stati sottratti i bambini di vederli rientrare e vivere serenamente), tuttavia, quando ciò non è possibile, occorre garantire il diritto dei bambini e delle bambine ad una vita serena e a un futuro. 
ParlaMint-IT_2015-03-11-LEG17-Sed-407_268	Pensiamo pertanto che il Parlamento, senza introdurre scorciatoie per altre motivazioni politiche cui ha fatto 	riferimento	 la relatrice, su questo emendamento debba prendere coraggiosamente una decisione, nell' interesse supremo dei bambini. 
ParlaMint-IT_2015-03-11-LEG17-Sed-407_305	Qualora, a seguito di un periodo di affidamento» - non si utilizza quindi l'aggettivo "prolungato" - «il minore faccia 	ritorno	 nella famiglia di origine o sia dato in affidamento ad altra famiglia o adottato da altra famiglia, è comunque tutelata ...». 
ParlaMint-IT_2020-03-11-LEG18-Sed-200_191	non sono temi su cui fare 	populismo	. 
ParlaMint-IT_2020-03-11-LEG18-Sed-200_235	Oggi non basta far 	finta	 di niente, non basta lasciare che, alla fine, siano gli altri o gli italiani da soli a pensarci . 
ParlaMint-IT_2020-03-11-LEG18-Sed-200_255	Ringraziamo anche queste sigle sindacali che, assieme, si sono unite, superando le divisioni naturali che esistono tra ogni sigla sindacale per far 	fronte	 a questo problema. 
ParlaMint-IT_2015-03-11-LEG17-Sed-407_60	Quindi, la famiglia di origine durante l'affidamento occupa una posizione centrale accanto alla famiglia affidataria e insieme devono fare 	squadra	 tenendosi in contatto nell' interesse del minore. 
ParlaMint-IT_2020-03-11-LEG18-Sed-200_50	È evidente che tutti questi sforzi, profusi dall' amministrazione al solo scopo di evitare che l'epidemia si faccia 	largo	 nelle carceri, rischiano di essere gravemente compromessi dalle rivolte di questi giorni che hanno causato l'inagibilità di un numero elevatissimo di posti detentivi. 
ParlaMint-IT_2020-03-11-LEG18-Sed-200_74	Purtroppo ce ne dobbiamo far 	carico	, perché pensare che si possa addebitare a lui o a gli ultimi Ministri una situazione che viene da lontano è profondamente sleale, in termini personali e politici. 
ParlaMint-IT_2020-03-11-LEG18-Sed-200_102	Il capo del DAP ha gravissime responsabilità in questa vicenda ed è bene che vada a casa perché non si può far 	finta	 che nulla sia accaduto. 
ParlaMint-IT_2020-03-11-LEG18-Sed-200_126	Per questo, signor Ministro, pensiamo che non si possa silenziosamente far 	finta	 di nulla: 
