sent_id	left_context	pivot	right_context
isst_tanl-129	Fanno 	fatica	 ad ammettere che una mescolanza misteriosa di fattori genetici, di educazione e di stimoli ambientali, possa produrre individui che sanno fare cose che essi non potranno mai nemmeno immaginare. 
isst_tanl-894	i serbi abbandonano in massa la Krajina espugnata dall' esercito di Zagabria, gli ultimi croati vengono espulsi dalla Bosnia serba per vendetta e per far 	posto	 ai nuovi arrivi; 
tut-3301	E qui Baudo, chiamato a Raitre dal direttore Angelo Guglielmi non solo per fare 	ascolto	 ma anche per convincere i più riottosi tra i teleutenti a comprare l'antenna supplementare indispensabile in alcune zone per ricevere il segnale della rete e lasciarle quindi in eredità un cospicuo patrimonio aggiuntivo di spettatori tecnologicamente attrezzati, spiega la sua teoria. 
5_WIKIBalzac-128	Pianificò di divenire lui stesso questo candidato, facendo 	appello	 soprattutto alle classi più elevate di Chinon. 
isst_tanl-287	Fa 	fatica	 a respirare, non vuole parlare con nessuno. 
isst_tanl-332	Gli aviatori italiani erano a pranzo quando una sessantina di uomini dell' "Armee Nationale Congolaise", ammutinati, fecero 	irruzione	 nel locale e li scambiarono per soldati belgi. 
isst_tanl-350	"Hanno fatto 	fuoco	 prima su mio marito. 
isst_tanl-537	Paul Samuelson ha fatto parzialmente 	marcia	 indietro rispetto al suo giudizio inizialmente negativo sulla riforma delle pensioni, sulla quale Modigliani mantiene invece le sue perplessità. 
isst_tanl-578	Nel 1967 fa 	scandalo	 la "dichiarazione sulla lingua" sottoscritta da diciotto istituti di cultura e da intellettuali "di regime" come Miroslav Krleza, membro del Comitato Centrale della Lega dei Comunisti e amico personale di Tito. 
isst_tanl-683	Andava ogni giorno da Berlusconi, poi veniva da me e mi diceva "Stai dalla parte degli stupratori, farò 	campagna	 elettorale contro di te". 
isst_tanl-712	Comunque, per tornare alle quote e alla difficoltà di far 	politica	, credo che Livia Turco abbia proprio ragione: 
isst_tanl-750	Certo, il telespettatore deve essere informato correttamente, ed è per questo che noi facciamo scarso 	uso	 degli esperti. 
isst_tanl-794	E solo una folle corsa a sirene spiegate, a bordo di un'auto che finge di far 	parte	 di un convoglio di alti ufficiali in fuoristrada e corre troppo in fretta per essere fermata, consente a un gruppo di giornalisti di arrivare fino alla periferia di Petrinja. 
isst_tanl-984	Vi fanno 	parte	 5 membri dell' Accademia delle Scienze, 42 professori universitari, giornalisti, scrittori, registi, attori. 
isst_tanl-1053	Sembra vero comunque che in palestra amassero intrattenersi oltre il previsto per i 18 mesi dell' amicizia; che lui andasse a farle 	visita	 regolarmente, tre volte alla settimana, e che più di una volta sia arrivato tardi a impegni vari, anche di lavoro, perché trattenuto da lei. 
isst_tanl-1980	Perciò fa 	piacere	 finirci in mezzo e perdersi in un immenso parco che, per ordine, pulizia e cura, non ha nulla da invidiare a quelli tanto celebrati d'Oltralpe. 
isst_tanl-2008	Per i miei antenati, come per i suoi, pisciare sull' aia, davanti all' uscio di casa, è stato per secoli un comportamento tradizionale e pieno di dignità e mi fa 	piacere	 che lei non abbia tralignato. 
isst_tanl-2023	come chiunque si muova negli universi dello spettacolo e della politica, anche lei ha bisogno che il suo nome non scompaia, che i suoi spettacoli vengano segnalati, eccetera; in cambio, l'Industria della Fama rivendica alcuni diritti - per esempio, quello di mostrarla mentre fa 	pipì	. 
isst_tanl-2043	Stavolta a inaugurare le danze non è il giocatore che, anzi, mantenendo fede ai buoni propositi, fa 	professione	 di cristiana rassegnazione ("mi sento molto meglio dello scorso anno, mi sento forte, vorrei partire alla pari degli altri per dimostrare quello che valgo" si limita a sussurrare). 
isst_tanl-2276	Sul podio un'aria nuova e una bandiera che rammenta qualcosa e non si può far 	finta	 di niente. 
isst_tanl-2543	L'uomo sfoderò due pistole e fece 	fuoco	 nove volte contro la ragazza. 
isst_tanl-2879	L'uomo li aveva rimproverati perché facevano 	baccano	 mentre lui tentava di prendere sonno sulla gradinata della chiesa e loro hanno reagito colpendolo . 
isst_tanl-2885	Allora Simonetti ha deciso di invitarli a fare meno 	chiasso	: 
isst_tanl-2908	Due attività in molti casi strettamente collegate e che fanno 	capo	 agli stessi personaggi. 
isst_tanl-3364	Se è giallastra, meglio fare 	attenzione	 all' alimentazione. 
isst_tanl-3660	"Guardi però che non è stata la notizia che Allende si sia suicidato quella che ha fatto più 	impressione	 in Cile", mi dice Cavallo. 
isst_tanl-3894	dicono le statistiche che l'87 per cento degli infartuati è pensionato o ha fatto 	richiesta	 per la pensione; 
isst_tanl-4063	"Per questo facciamo sempre di più 	appello	 alle offerte di ogni tipo. 
tut-50	Salve le disposizioni delle leggi penali [c.p. 499] e di polizia [nonché le norme dell' ordinamento corporativo] (1) e le disposizioni particolari concernenti beni determinati, quando il proprietario abbandona la conservazione, la coltivazione o l'esercizio di beni che interessano la produzione nazionale, in modo da nuocere gravemente alle esigenze della produzione stessa, può farsi 	luogo	 all' espropriazione dei beni da parte dell' autorità amministrativa, premesso il pagamento di una giusta indennità. 
tut-92	Nei trasferimenti di proprietà, nelle divisioni e nelle assegnazioni a qualunque titolo, aventi per oggetto terreni destinati a coltura o suscettibili di coltura, e nella costituzione o nei trasferimenti di diritti reali sui terreni stessi non deve farsi 	luogo	 a frazionamenti che non rispettino la minima unità colturale. 
tut-165	Quando l'inosservanza degli obblighi imposti ai proprietari [860, 861] risulta tale da compromettere l'attuazione del piano di bonifica, può farsi 	luogo	 all' espropriazione parziale o totale del fondo appartenente al proprietario inadempiente, osservate le disposizioni della legge speciale. 
tut-166	L'espropriazione ha luogo a favore del consorzio, se questo ne fa 	richiesta	, o, in mancanza, a favore di altra persona che si obblighi ad eseguire le opere offrendo opportune garanzie. 
tut-300	La disposizione non si applica quando gli alberi fanno 	parte	 di filare situato lungo il confine. 
tut-483	Nel caso che la separazione dei materiali non sia richiesta o che i materiali siano inseparabili, il terzo che ne ha fatto 	uso	 e il proprietario del suolo che sia stato in malafede (2) sono tenuti in solido al pagamento di una indennità pari al valore dei materiali stessi. 
tut-485	Può altresì chiedere il risarcimento dei danni, tanto nei confronti del terzo che ne abbia fatto 	uso	 senza il suo consenso, quanto nei confronti del proprietario del suolo che in malafede abbia autorizzato l'uso [2043]. 
tut-487	Se nella costruzione di un edificio si occupa in buona fede (1) una porzione (2) del fondo attiguo, e il proprietario di questo non fa 	opposizione	 entro tre mesi (3) dal giorno in cui ebbe inizio la costruzione, l'autorità giudiziaria, tenuto conto delle circostanze, può attribuire al costruttore la proprietà dell' edificio e del suolo occupato (4). 
tut-778	Se durante l'usufrutto un terzo commette usurpazione sul fondo o altrimenti offende le ragioni del proprietario, l'usufruttuario è tenuto a fargliene 	denunzia	 e, omettendola , è responsabile dei danni che eventualmente siano derivati al proprietario. 
tut-799	Se l'usufrutto è stabilito sopra un fondo, del quale fa 	parte	 un edificio, e questo viene in qualsiasi modo a perire, l'usufruttuario ha diritto di godere dell' area e dei materiali. 
tut-881	Se però di tale facoltà egli non ha fatto 	uso	 al tempo della concessione dell' acquedotto, deve sopportare la metà delle spese occorrenti. 
tut-890	Se si fa 	luogo	 al prosciugamento, può essere assegnata una congrua indennità a coloro che al prosciugamento si sono opposti. 
tut-1047	Ciascun partecipante può servirsi della cosa comune, purché non ne alteri la destinazione e non impedisca agli altri partecipanti di farne parimenti 	uso	 secondo il loro diritto. 
tut-1146	Il creditore che riceve il pagamento deve, a richiesta e a spese del debitore, rilasciare quietanza e farne 	annotazione	 sul titolo, se questo non è restituito al debitore. 
tut-1175	Il debitore non può essere considerato in mora, se tempestivamente ha fatto 	offerta	 della prestazione dovuta, anche senza osservare le forme indicate nella sezione III del precedente capo, a meno che il creditore l'abbia rifiutata per un motivo legittimo. 
tut-1246	Il delegato non può neppure opporre le eccezioni relative al rapporto tra il delegante e il delegatario, se ad esso le parti non hanno fatto espresso 	riferimento	. 
tut-1321	Tutti hanno diritto di professare liberamente la propria fede religiosa in qualsiasi forma, individuale o associata, di farne 	propaganda	 e di esercitarne in privato o in pubblico il culto, purché non si tratti di riti contrari al buon costume. 
