sent_id	left_context	pivot	right_context
333	Bossi: il governo Monti? Fa 	schifo	 (da che pulpito). Ancora la situazione è come prima ... bisogna dare tempo per cambiare l'eredità lasciata 
493	#Bossi: " Il #governo #Monti fa 	schifo	 ". E #Berlusconi si dimise perché " ricattato " http://t.co/DAlfShQL 
2869	#Paritàsessi non è sfoggiare ascelle pelose o #pisciare in un imbuto per farlo in piedi, ma essere libere di fare, insieme, 	carriera	 e figli 
3566	@user oggi pomeriggio vado a fare 	palestra	 :3 tu ?? 
3611	La7 parlano ancora di #Grillo e di come fa 	paura	 alla #politica. Penso sia cosa buona #farepauraallapolitica. 
4781	#portaaporta secondo sondaggio, da spauracchio ora comincia a fare 	paura	 #Grillo quale sarà contromossa della politica? 
5121	@user Spero proprio che #Grillo spazzi via la " malapolitica " esistente, partecipazione dei cittadinie e fare 	politica	 x passione 
6596	Bossi: Il governo Monti fa 	schifo	. Tu di piú! No, tu di piú! 
6710	Se il programma avrà fatto meno 	ascolto	 sul pubblico del Nord Italia, darà la colpa a Siani. #sapevatelo #amici 
5998	Letta: sicuramente non farò 	parte	 del governo Monti. e siamo un passo avanti. #finecorsa 
6171	La rivoluzione dei cento fiori di Mario Monti è partita. Le liberalizzazioni hanno cominciato a farsi 	strada	 ... http://t.co/ShPktma1 
6686	@user Anche una mia amica dovrebbe andarci ! :D Io sto cercando la voglia di fare 	latino	! D: 
5988	#Grillo vola nei sondaggi e fa 	paura	 a tutti i politici, che come mausolei hanno paura di essere cagati in testa. 
28	Forse #Grillo fa 	finta	 di non capire che in rete si segue anche chi non si approva e chi si disprezza. Da le cifre come le dava °Berlusconi 
73	@user non avevo fatto 	caso	 al tuo nuovo nome akldl inutile dire che mi piace da morire 
350	RT @user: comunichiamo! se non comunichi non si può fare 	pace	! quante volte ho mandato a fanculo Luhan e quante gliene ho dette nessu… 
1206	@user #Grillo non vuole il bene dell' #Italia, vuole entrare nella #Casta perchè gli fanno comodo 12000 	euro	 al mese di più ... 
1310	Casini: « Se facciamo 	governo	 Monti è un miracolo » http://t.co/zzRfeOQW 
1798	Se il Movimento5stelle fosse davvero forte e davvero " della rete ", si libererebbe da #Grillo e farebbe 	politica	 come Movimento. Invece no. 
1826	#Grillo deve far davvero 	paura	. Oggi Sartori sul " partito liquido " e Napolitano sul " demagogo ". Effetto vittima, che pagherà ancora di più. 
2149	Governo Monti, il Vaticano: « Bella squadra ». Sono i tifosi a fare 	schifo	. Insuperabile @user :D 
3017	Non so se mi fanno più 	schifo	 i cinepanettoni o i film di Zalone. Nel dubbio, non ne guardo nessuno dei due. 
3028	ho appena fatto geografia per lunedì, latino per martedì e storia per venerdì. ieri ho fatto 	inglese	 per lunedì e un po' di matematica .. 
3028	ho appena fatto 	geografia	 per lunedì, latino per martedì e storia per venerdì. ieri ho fatto inglese per lunedì e un po' di matematica .. 
3813	@user Votano per chi difende il sindacato non arrendevole. #Grillo non fa 	parte	 di questo club. Per lui fa tutto schifo ... 
4344	" @user: Nichi bisogna fare 	autocritica	 e non interpretare un berlusconismo di ritorno !!!! 
6381	RT @user :' ridi che passa ' pt 21 Come si riproducono le pietre? facendo 	sasso	 
6700	tutti pensano che #Grillo e' l'antipolitica e non farà mai 	paura	 .. anche la #Lega nacque così ... intanto pero' facciamo #piazzapulita 
5892	A Montecitorio un MegaCondom per il #WorldAIDSDay. Chiediamo al Governo #Monti di fare 	prevenzione	 e informazione http://t.co/dCyExBN2 
16	Indicazioni per Mario Monti sul cosa e dove si dovrebbe tagliare per fare 	cassa	. http://t.co/UtjtFDbr 
193	" @user1: @user2: Si fa 	fatica	 a vedere anche un solo segnale di equità nella manovra del governo Monti ... Io concordo 
435	#portaaporta #Vespa ha fatto pura 	propaganda	 per #Grillo e quasi mi sono convinta a dare un voto alternativo e di discontinuità 
531	@user dovrebbe fare 	pace	 col cervello 
538	Bossi: « Il governo Monti fa 	schifo	, sono improvvisati ». Il trota invece, e Calderoli, mirabili statisti. 
599	tutti pensano che #Grillo e' #l'antipolitica e non farà mai 	paura	 .. anche la #Lega nacque così ... intanto pero' facciamo #piazzapulita 
645	@user me lo son perso stasera, cmq preferisco i vip, gli sconosciuti in tv fanno 	tristezza	 
707	Devi renderti conto che alcune persone possono far 	parte	 del tuo cuore, ma non della tua vita ;) 
708	Meno male che è #Grillo a fare 	demagogia	. Politici, andate a lavorare per davvero. #piazzapulita 
863	quand' è che Mario #Monti in treno non farà più 	notizia	? #mobbastaveramenteperò http://t.co/GtMmOT57 via @user 
